"id_credito","monto","fecha","id_asistencia"
16,10.00,2007-08-25,1
16,22.00,2007-09-08,1
16,10.00,2007-09-22,1
16,12.00,2007-11-03,1
16,92.00,2007-11-10,1
16,19.00,2007-11-24,1
16,33.00,2007-12-01,1
17,20.00,2007-03-24,1
17,5.00,2007-03-31,1
17,12.00,2007-04-14,1
17,11.25,2007-04-21,1
17,12.00,2007-05-05,1
17,20.00,2007-05-19,1
17,22.00,2007-06-02,1
17,21.50,2007-06-16,1
17,30.00,2007-07-07,1
17,50.00,2007-08-18,1
17,20.00,2007-09-08,1
17,15.00,2007-09-22,1
17,20.00,2007-10-13,1
17,20.00,2007-11-17,1
17,132.00,2007-11-24,1
17,39.25,2007-12-01,1
17,6.00,2008-04-19,1
18,10.00,2007-03-24,1
18,10.00,2007-03-31,1
18,20.00,2007-04-14,1
18,10.00,2007-04-21,1
18,10.00,2007-04-28,1
18,7.00,2007-05-05,1
18,13.00,2007-05-12,1
18,10.00,2007-05-19,1
18,10.00,2007-05-26,1
18,10.00,2007-06-02,1
18,20.00,2007-06-09,1
18,10.00,2007-06-16,1
18,10.00,2007-06-23,1
18,10.00,2007-07-07,1
18,10.00,2007-07-14,1
18,10.00,2007-07-21,1
18,10.00,2007-07-28,1
18,10.00,2007-08-11,1
18,20.00,2007-08-25,1
18,20.00,2007-09-08,1
18,10.00,2007-09-15,1
18,20.00,2007-09-22,1
18,10.00,2007-09-29,1
18,10.00,2007-10-06,1
18,10.00,2007-10-20,1
18,10.00,2007-11-03,1
18,20.00,2007-11-10,1
18,10.00,2007-11-17,1
18,35.00,2007-11-24,1
18,15.00,2007-12-01,1
19,30.00,2007-03-05,1
19,86.00,2007-04-02,1
19,65.00,2007-05-07,1
19,76.00,2007-06-04,1
19,40.00,2007-07-02,1
19,85.00,2007-08-06,1
19,50.00,2007-09-03,1
19,60.00,2007-10-01,1
19,20.00,2007-10-27,1
19,60.00,2007-11-05,1
19,20.00,2007-12-03,1
20,30.00,2007-03-05,1
20,45.00,2007-04-02,1
20,60.00,2007-05-07,1
20,60.00,2007-06-04,1
20,45.00,2007-07-02,1
20,45.00,2007-08-06,1
20,45.00,2007-09-03,1
20,62.00,2007-10-01,1
20,90.00,2007-11-05,1
20,76.00,2007-12-03,1
20,61.00,2008-01-07,1
20,15.00,2008-02-04,1
20,15.00,2008-02-09,1
20,15.00,2008-02-16,1
20,56.00,2008-03-03,1
21,15.00,2007-03-31,1
21,15.00,2007-04-14,1
21,15.00,2007-04-21,1
21,15.00,2007-04-28,1
21,15.00,2007-05-05,1
21,15.00,2007-05-12,1
21,15.00,2007-05-19,1
21,15.00,2007-05-26,1
21,15.00,2007-06-09,1
21,15.00,2007-06-23,1
21,20.00,2007-06-30,1
21,15.00,2007-07-07,1
21,15.00,2007-07-14,1
21,15.00,2007-07-21,1
21,10.00,2007-07-28,1
21,7.00,2007-08-11,1
21,25.00,2007-08-18,1
21,15.00,2007-08-25,1
21,6.00,2007-09-01,1
21,15.00,2007-09-08,1
21,15.00,2007-09-15,1
21,15.00,2007-09-22,1
21,15.00,2007-09-29,1
21,20.00,2007-10-20,1
21,5.00,2007-11-10,1
21,5.00,2007-11-24,1
21,5.00,2007-12-01,1
21,5.00,2008-01-12,1
21,4.00,2008-01-26,1
21,5.00,2008-02-02,1
21,5.00,2008-03-01,1
21,5.00,2008-03-08,1
21,5.00,2008-03-22,1
21,5.00,2008-03-29,1
21,5.00,2008-04-19,1
21,5.00,2008-05-17,3
21,5.00,2008-05-24,3
21,10.00,2008-06-07,3
21,5.00,2008-06-14,3
21,10.00,2008-06-21,3
21,10.00,2008-06-28,3
21,5.00,2008-07-05,3
21,4.00,2008-07-12,3
21,5.00,2008-08-23,3
21,10.00,2008-08-30,3
21,10.00,2008-09-06,3
21,10.00,2008-09-13,3
21,10.00,2008-09-20,3
21,10.00,2008-09-27,3
21,10.00,2008-10-04,3
21,10.00,2008-10-18,3
21,10.00,2008-10-23,3
21,10.00,2008-11-01,3
21,10.00,2008-11-08,3
21,30.00,2008-11-22,3
21,15.00,2008-11-29,3
21,10.00,2008-12-13,3
21,10.00,2008-12-20,3
21,10.00,2008-12-27,3
21,10.00,2009-01-10,3
21,10.00,2009-01-17,3
21,10.00,2009-01-24,3
21,14.00,2009-02-21,3
21,10.00,2009-03-21,3
21,10.00,2009-03-28,3
21,12.00,2009-04-04,3
22,30.00,2007-04-14,1
22,30.00,2007-05-12,1
22,30.00,2007-06-09,1
22,15.00,2007-06-16,1
22,20.00,2007-06-23,1
22,60.00,2007-07-07,1
22,30.00,2007-08-11,1
22,10.00,2007-08-18,1
22,9.00,2007-09-08,1
22,21.00,2007-09-15,1
22,11.00,2007-09-29,1
22,19.00,2007-10-06,1
22,45.00,2007-11-10,1
22,390.00,2007-12-08,1
23,30.00,2007-04-14,1
23,30.00,2007-04-28,1
23,30.00,2007-05-07,1
23,30.00,2007-05-26,1
23,30.00,2007-06-09,1
23,15.00,2007-06-23,1
23,15.00,2007-06-30,1
23,30.00,2007-07-21,1
23,15.00,2007-07-28,1
23,15.00,2007-08-04,1
23,30.00,2007-08-18,1
23,30.00,2007-09-01,1
23,40.00,2007-09-22,1
23,30.00,2007-09-29,1
23,17.50,2007-10-06,1
23,25.00,2007-10-20,1
23,30.00,2007-11-03,1
23,40.00,2007-11-17,1
23,30.00,2007-12-01,1
23,14.00,2008-01-12,1
23,25.00,2008-01-19,1
24,50.00,2007-04-14,1
24,100.00,2007-04-28,1
24,50.00,2007-05-05,1
24,50.00,2007-05-12,1
24,50.00,2007-05-19,1
24,50.00,2007-05-26,1
24,50.00,2007-06-02,1
24,50.00,2007-06-09,1
24,50.00,2007-06-16,1
24,50.00,2007-06-23,1
24,50.00,2007-06-30,1
24,50.00,2007-07-07,1
24,50.00,2007-07-14,1
24,50.00,2007-07-21,1
24,50.00,2007-07-28,1
24,50.00,2007-08-04,1
24,50.00,2007-08-11,1
24,50.00,2007-08-18,1
24,100.00,2007-09-01,1
24,50.00,2007-09-08,1
24,50.00,2007-09-15,1
24,50.00,2007-09-22,1
24,100.00,2007-10-06,1
24,50.00,2007-10-13,1
24,50.00,2007-10-20,1
24,50.00,2007-10-27,1
24,50.00,2007-11-03,1
24,50.00,2007-11-10,1
24,50.00,2007-11-17,1
24,50.00,2007-11-24,1
24,50.00,2007-12-01,1
24,100.00,2007-12-08,1
24,100.00,2007-12-15,1
25,25.00,2007-04-14,1
25,25.00,2007-04-21,1
25,25.00,2007-04-28,1
25,25.00,2007-05-05,1
25,25.00,2007-05-12,1
25,25.00,2007-05-19,1
25,25.00,2007-05-26,1
25,25.00,2007-06-02,1
25,25.00,2007-06-09,1
25,25.00,2007-06-16,1
25,25.00,2007-06-23,1
25,25.00,2007-06-30,1
25,25.00,2007-07-07,1
25,25.00,2007-07-14,1
25,25.00,2007-07-21,1
25,25.00,2007-07-28,1
25,25.00,2007-08-04,1
25,25.00,2007-08-11,1
25,20.00,2007-08-18,1
25,25.00,2007-08-25,1
25,25.00,2007-09-01,1
25,25.00,2007-09-08,1
25,25.00,2007-09-15,1
25,25.00,2007-09-22,1
25,25.00,2007-09-29,1
25,25.00,2007-10-06,1
25,25.00,2007-10-13,1
25,25.00,2007-10-20,1
25,25.00,2007-11-03,1
25,25.00,2007-11-17,1
25,25.00,2007-11-24,1
25,25.00,2007-12-01,1
25,25.00,2007-12-08,1
25,25.00,2007-12-15,1
25,25.00,2007-12-22,1
25,25.00,2007-12-29,1
25,14.00,2008-01-05,1
25,25.00,2008-01-12,1
25,25.00,2008-01-19,1
25,50.00,2008-02-09,1
25,50.00,2008-02-23,1
25,50.00,2008-03-08,1
25,25.00,2008-03-15,1
25,12.00,2008-03-29,1
26,15.00,2007-04-14,1
26,12.50,2007-04-21,1
26,14.00,2007-04-28,1
26,12.00,2007-05-05,1
26,15.00,2007-05-12,1
26,12.00,2007-05-19,1
26,15.00,2007-05-26,1
26,10.00,2007-06-02,1
26,14.00,2007-06-09,1
26,10.00,2007-06-16,1
26,10.00,2007-06-23,1
26,15.00,2007-06-30,1
26,10.00,2007-07-07,1
26,15.00,2007-07-14,1
26,25.00,2007-07-28,1
26,10.00,2007-08-04,1
26,12.00,2007-08-11,1
26,12.00,2007-08-18,1
26,12.00,2007-08-25,1
26,12.00,2007-09-01,1
26,14.00,2007-09-08,1
26,12.00,2007-09-15,1
26,12.00,2007-09-22,1
26,15.00,2007-09-29,1
26,15.00,2007-10-06,1
26,10.00,2007-10-13,1
26,12.00,2007-10-20,1
26,15.00,2007-10-27,1
26,20.00,2007-11-03,1
26,15.00,2007-11-10,1
26,15.00,2007-11-17,1
26,15.00,2007-11-24,1
26,15.00,2007-12-01,1
26,27.50,2007-12-08,1
26,15.00,2007-12-15,1
27,13.50,2007-04-14,1
27,12.00,2007-04-21,1
27,20.00,2007-04-28,1
27,20.00,2007-05-05,1
27,10.00,2007-05-12,1
27,12.00,2007-05-26,1
27,20.00,2007-06-09,1
27,20.00,2007-06-30,1
27,20.00,2007-07-07,1
27,20.00,2007-07-28,1
27,10.00,2007-08-04,1
27,26.00,2007-09-01,1
27,20.00,2007-09-15,1
27,20.00,2007-09-22,1
27,20.00,2007-10-13,1
27,40.00,2007-11-03,1
27,20.00,2007-12-29,1
27,50.00,2008-02-02,1
28,11.25,2007-05-05,1
28,11.25,2007-05-12,1
28,22.50,2007-05-26,1
28,11.30,2007-06-02,1
28,12.00,2007-06-09,1
28,33.75,2007-06-30,1
28,11.25,2007-07-07,1
28,22.00,2007-07-21,1
28,23.50,2007-08-04,1
28,10.00,2007-08-11,1
28,11.25,2007-08-18,1
28,12.00,2007-08-25,1
28,34.00,2007-09-15,1
28,45.00,2007-10-06,1
28,10.20,2007-10-27,1
28,12.00,2007-11-10,1
28,12.00,2007-11-24,1
28,45.00,2007-12-08,1
28,30.00,2007-12-29,1
28,30.00,2008-01-12,1
28,10.00,2008-01-19,1
28,20.00,2008-02-09,1
28,10.00,2008-02-23,1
29,12.00,2007-05-05,1
29,12.00,2007-05-12,1
29,13.00,2007-05-19,1
29,12.00,2007-05-26,1
29,12.00,2007-06-02,1
29,11.25,2007-06-09,1
29,12.00,2007-06-16,1
29,11.00,2007-06-23,1
29,11.50,2007-06-30,1
29,12.00,2007-07-07,1
29,12.00,2007-07-14,1
29,12.00,2007-07-21,1
29,12.00,2007-07-28,1
29,12.00,2007-08-04,1
29,11.25,2007-08-11,1
29,12.00,2007-08-18,1
29,13.00,2007-08-25,1
29,12.00,2007-09-01,1
29,22.00,2007-09-15,1
29,12.00,2007-09-29,1
29,12.00,2007-10-06,1
29,24.00,2007-10-13,1
29,12.00,2007-10-27,1
29,12.00,2007-11-03,1
29,12.00,2007-11-10,1
29,23.00,2007-11-17,1
29,10.25,2007-11-24,1
29,10.00,2007-12-01,1
29,12.00,2007-12-08,1
29,20.00,2007-12-22,1
29,10.50,2007-12-29,1
29,12.00,2008-01-05,1
29,10.50,2008-01-12,1
29,22.50,2008-01-19,1
29,22.50,2008-02-09,1
29,11.25,2008-02-16,1
30,11.25,2007-05-05,1
30,12.00,2007-05-12,1
30,12.00,2007-05-19,1
30,22.00,2007-06-02,1
30,10.25,2007-06-09,1
30,12.00,2007-06-16,1
30,12.00,2007-06-23,1
30,12.00,2007-06-30,1
30,10.00,2007-07-07,1
30,10.50,2007-07-14,1
30,12.00,2007-07-21,1
30,10.25,2007-07-28,1
30,25.00,2007-08-11,1
30,10.00,2007-08-18,1
30,12.00,2007-08-25,1
30,14.00,2007-09-01,1
30,25.00,2007-09-08,1
30,12.00,2007-09-22,1
30,14.00,2007-09-29,1
