"id","id_beneficaria","id_rubro","fecha_entrega","fecha_cobro","prestamo","saldo_anterior","monto_cheque","tasa_interes","deuda_total","id_cartera","cuotas","nro_credito","fecha_finalizacion","comentarios","gastos_arquitecto"
85,184,1,2007-09-22,2007-09-24,450.00,0,450.00,0.20,540.00,5,48,"1",2010-01-01,"Incobrable 2009",\N
86,185,1,2007-09-22,2007-09-24,450.00,0,450.00,0.20,540.00,5,48,"1",2008-08-23,\N,\N
87,186,1,2007-09-22,2007-09-24,450.00,0,450.00,0.20,540.00,5,48,"1",2010-01-01,"Incobrable 2009",\N
88,187,1,2007-09-22,2007-09-24,450.00,0,450.00,0.20,540.00,5,48,"1",2010-01-01,"Incobrable 2009",\N
89,155,1,2007-09-22,2007-09-24,500.00,0,500.00,0.20,600.00,1,48,"2",2008-11-07,\N,\N
90,156,1,2007-09-22,2007-09-24,500.00,0,500.00,0.20,600.00,1,48,"2",2008-09-06,\N,\N
91,41,1,2007-09-22,2007-09-24,1000.00,0,1000.00,0.20,1200.00,1,48,"9",2008-05-03,\N,\N
92,133,1,2007-09-29,2007-10-01,450.00,0,450.00,0.20,540.00,4,48,"1",2008-09-27,\N,\N
93,134,1,2007-09-29,2007-10-01,435.00,0,435.00,0.20,522.00,4,48,"1",2008-09-06,\N,\N
94,135,1,2007-09-29,2007-10-01,450.00,0,450.00,0.20,540.00,4,48,"1",2008-08-30,\N,\N
95,136,1,2007-09-29,2007-10-01,418.00,0,418.00,0.20,501.60,4,48,"1",2008-07-12,\N,\N
96,12,18,2007-09-29,2007-10-01,600.00,81,518.60,0.20,720.00,1,48,"3",2008-12-31,"Incobrable 2008",\N
97,138,1,2007-10-06,2007-10-08,450.00,0,450.00,0.20,540.00,2,48,"1",2008-09-06,\N,\N
98,139,1,2007-10-06,2007-10-08,400.00,0,400.00,0.20,480.00,2,48,"1",2008-07-26,\N,\N
99,140,1,2007-10-06,2007-10-08,410.00,0,410.00,0.20,492.00,2,48,"1",2008-08-09,\N,\N
100,141,1,2007-10-06,2007-10-08,450.00,0,450.00,0.20,540.00,2,48,"1",2008-12-13,\N,\N
101,142,1,2007-10-06,2007-10-08,450.00,0,450.00,0.20,540.00,2,48,"1",2008-07-19,\N,\N
102,86,1,2007-10-06,2007-10-08,490.00,0,490.00,0.20,588.00,1,48,"3",2008-07-26,\N,\N
103,151,4,2007-10-06,2007-10-08,450.00,0,450.00,0.20,540.00,1,48,"3",2008-09-13,\N,\N
104,189,1,2007-10-06,2007-10-08,380.00,0,380.00,0.20,456.00,1,48,"1",2008-12-31,"Incobrable 2008",\N
105,143,1,2007-10-20,2007-10-22,800.00,0,800.00,0.20,960.00,1,48,"9",2008-10-04,\N,\N
106,102,1,2007-10-27,2007-10-29,600.00,100,500.00,0.20,720.00,1,48,"3",2008-05-10,\N,\N
107,48,1,2007-10-27,2007-10-29,800.00,33,766.75,0.20,960.00,1,48,"7",2008-07-19,\N,\N
108,114,1,2007-11-03,2007-11-05,500.00,0,500.00,0.20,600.00,1,48,"2",2008-09-13,\N,\N
109,116,1,2007-11-04,2007-11-06,500.00,0,500.00,0.20,600.00,1,48,"2",2008-12-31,"Incobrable 2008",\N
110,34,1,2007-11-17,2007-11-19,500.00,12,488.00,0.20,600.00,1,48,"3",2008-08-23,\N,\N
111,61,1,2007-11-24,2007-11-26,477.00,0,477.00,0.20,572.40,1,48,"5",2008-12-13,\N,\N
112,85,1,2007-11-24,2007-11-26,500.00,0,500.00,0.20,600.00,1,48,"3",2009-12-31,"Incobrable 2009",\N
113,59,1,2007-11-24,2007-11-26,800.00,0,800.00,0.20,960.00,1,48,"6",2008-09-13,\N,\N
114,65,1,2007-11-24,2007-11-26,700.00,54,646.10,0.20,840.00,1,48,"5",2008-12-31,"Incobrable 2008",\N
115,68,1,2007-12-01,2007-12-03,700.00,35,665.10,0.20,840.00,1,48,"5",2009-10-03,\N,\N
116,2,1,2007-12-15,2007-12-17,700.00,0,700.00,0.20,840.00,1,48,"5",2008-12-31,"Incobrable 2008",\N
117,64,1,2007-12-22,2007-12-24,700.00,93,606.80,0.20,840.00,1,48,"4",\N,\N,\N
118,145,1,2007-12-22,2007-12-24,600.00,0,600.00,0.20,720.00,1,48,"6",2008-08-23,\N,\N
119,69,1,2007-12-22,2007-12-24,700.00,139,561.00,0.20,840.00,1,48,"5",2008-10-04,\N,\N
120,50,1,2007-12-22,2007-12-24,800.00,149,651.00,0.20,960.00,1,48,"8",2008-10-11,\N,\N
121,159,1,2007-12-22,2007-12-24,500.00,34,466.00,0.20,600.00,1,48,"2",2009-05-02,"Incobrable 2008",\N
122,161,1,2007-12-22,2007-12-24,500.00,0,500.00,0.20,600.00,1,48,"2",2008-12-06,\N,\N
123,162,1,2007-12-22,2007-12-24,500.00,0,500.00,0.20,600.00,1,48,"2",2008-03-08,\N,\N
124,163,1,2007-12-22,2007-12-24,500.00,90,410.00,0.20,600.00,1,48,"2",2008-12-31,"Incobrable 2008",\N
125,164,1,2007-12-22,2007-12-24,500.00,80,420.00,0.20,600.00,1,48,"2",2008-10-11,\N,\N
126,166,1,2007-12-22,2007-12-24,500.00,80,420.00,0.20,600.00,1,48,"2",2008-09-27,\N,\N
127,167,1,2007-12-22,2007-12-24,500.00,90,410.00,0.20,600.00,1,48,"2",2009-04-18,"Incobrable 2008",\N
128,63,1,2007-12-22,2007-12-24,700.00,0,700.00,0.20,840.00,1,48,"5",2008-10-04,\N,\N
129,137,1,2007-12-22,2007-12-24,2000.00,500,1500.00,0.20,2400.00,1,48,"11",2008-10-18,\N,\N
130,100,1,2007-12-22,2007-12-24,500.00,110,390.00,0.20,600.00,1,48,"3",2008-11-08,\N,\N
131,60,1,2007-12-22,2007-12-24,700.00,128,572.00,0.20,840.00,1,48,"5",2009-02-07,\N,\N
132,147,1,2007-12-22,2007-12-24,1000.00,140,860.00,0.20,1200.00,1,48,"9",2008-12-31,"Incobrable 2008",\N
133,36,1,2007-12-29,2007-12-31,615.00,0,615.00,0.20,738.00,1,48,"5",2010-03-13,\N,\N
134,190,1,2007-12-29,2007-12-31,500.00,0,500.00,0.20,600.00,1,48,"2",2008-12-31,"Incobrable 2008",\N
135,14,1,2007-12-29,2007-12-31,700.00,0,700.00,0.20,840.00,1,48,"5",2008-12-31,"Incobrable 2008",\N
136,91,1,2007-12-29,2007-12-31,600.00,0,600.00,0.20,720.00,1,48,"4",2008-06-26,\N,\N
137,1,1,2005-04-20,2005-04-22,280.00,0,280.00,0.01,322.00,1,48,"2",2007-12-03,\N,\N
138,3,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,192.55,1,48,"Desconocido",2006-08-31,\N,\N
139,4,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,155.81,1,48,"Desconocido",2006-12-09,\N,\N
140,5,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,110.50,1,48,"Desconocido",2007-01-06,"Incobrable 2007",\N
141,6,1,2006-08-31,2006-09-02,126.39,0,126.39,0.01,145.35,1,48,"Desconocido",2008-12-31,"Incobrable 2008",\N
142,7,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,124.15,1,48,"Desconocido",2006-10-28,\N,\N
143,9,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,77.83,1,48,"Desconocido",2006-09-23,\N,\N
144,10,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,86.30,1,48,"Desconocido",2006-09-09,\N,\N
145,12,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,180.00,1,48,"1",2006-12-09,\N,\N
146,15,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,59.55,1,48,"Desconocido",2006-10-07,\N,\N
147,17,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,139.02,1,48,"Desconocido",2006-09-16,\N,\N
148,21,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,95.15,1,48,"Desconocido",2006-12-23,\N,\N
149,22,1,2006-08-31,2006-09-02,0.00,0,0.00,0.20,165.54,1,48,"Desconocido",2006-10-07,\N,\N
150,23,1,2006-05-20,2006-05-22,343.75,0,343.75,0.20,412.50,1,48,"Desconocido",2008-12-31,"Incobrable 2008",\N
