"id","id_beneficaria","id_rubro","fecha_entrega","fecha_cobro","prestamo","saldo_anterior","monto_cheque","tasa_interes","deuda_total","id_cartera","cuotas","nro_credito","fecha_finalizacion","comentarios","gastos_arquitecto"
41,16,1,2007-05-05 0:00:00,2007-05-07 0:00:00,$700.00,0,$700.00,0.20,$840.00,1,48,"4",2008-02-02 0:00:00,,
42,41,12,2007-05-12 0:00:00,2007-05-14 0:00:00,$800.00,0,$800.00,0.20,$960.00,1,48,"8",2007-09-15 0:00:00,,
43,77,13,2007-05-19 0:00:00,2007-05-21 0:00:00,$600.00,108,$492.50,0.20,$720.00,1,48,"4",2008-04-12 0:00:00,,
44,39,9,2007-05-19 0:00:00,2007-05-21 0:00:00,$700.00,0,$700.00,0.20,$840.00,1,48,"6",2008-05-03 0:00:00,,
45,72,18,2007-05-19 0:00:00,2007-05-21 0:00:00,$500.00,0,$500.00,0.20,$600.00,1,48,"4",2008-05-17 0:00:00,,
46,49,18,2007-05-19 0:00:00,2007-05-21 0:00:00,$800.00,138,$662.00,0.20,$960.00,1,48,"8",2008-02-02 0:00:00,,
47,73,18,2007-05-12 0:00:00,2007-05-04 0:00:00,$600.00,0,$600.00,0.20,$720.00,1,48,"4",2007-06-30 0:00:00,"Crédito Especial",
48,188,18,2007-06-02 0:00:00,2007-06-04 0:00:00,$450.00,0,$450.00,0.20,$540.00,1,48,"1",2007-12-31 0:00:00,"Incobrable 2007",
49,104,8,2007-06-02 0:00:00,2007-06-04 0:00:00,$500.00,0,$500.00,0.20,$600.00,1,48,"2",2008-03-29 0:00:00,,
50,106,1,2007-06-02 0:00:00,2007-06-04 0:00:00,$500.00,0,$500.00,0.20,$600.00,1,48,"2",2008-03-29 0:00:00,,
51,66,18,2007-06-09 0:00:00,2007-06-11 0:00:00,$700.00,0,$700.00,0.20,$840.00,1,48,"5",2008-04-12 0:00:00,,
52,19,14,2007-06-09 0:00:00,2007-06-11 0:00:00,$600.00,0,$600.00,0.20,$720.00,1,48,"4",2008-01-07 0:00:00,"Incobrable 2007",
53,173,1,2007-06-16 0:00:00,2007-06-18 0:00:00,$400.00,0,$400.00,0.20,$480.00,6,48,"1",2008-05-17 0:00:00,,
54,174,1,2007-06-16 0:00:00,2007-06-18 0:00:00,$450.00,0,$450.00,0.20,$540.00,6,48,"1",2008-06-21 0:00:00,,
55,175,1,2007-06-16 0:00:00,2007-06-18 0:00:00,$400.00,0,$400.00,0.20,$480.00,6,48,"1",2008-06-21 0:00:00,,
56,176,1,2007-06-16 0:00:00,2007-06-18 0:00:00,$400.00,0,$400.00,0.20,$480.00,6,48,"1",2008-05-31 0:00:00,,
57,177,1,2007-06-16 0:00:00,2007-06-18 0:00:00,$450.00,0,$450.00,0.20,$540.00,6,48,"1",2008-07-12 0:00:00,,
58,91,1,2007-06-16 0:00:00,2007-06-18 0:00:00,$500.00,0,$500.00,0.20,$600.00,1,48,"3",2007-12-22 0:00:00,,
59,8,1,2007-06-16 0:00:00,2007-06-18 0:00:00,$500.00,54,$446.10,0.20,$600.00,1,48,"3",2008-12-31 0:00:00,"Incobrable 2008",
60,103,1,2007-06-23 0:00:00,2007-06-25 0:00:00,$500.00,0,$500.00,0.20,$600.00,1,48,"2",2008-05-31 0:00:00,,
61,73,18,2007-06-30 0:00:00,2007-07-02 0:00:00,$750.00,550,$200.00,0.20,$900.00,1,48,"Refuerzo",2008-06-28 0:00:00,"Finalizado el credito especial",
62,149,1,2007-07-07 0:00:00,2007-07-09 0:00:00,$500.00,100,$400.00,0.20,$600.00,1,48,"3",2008-12-31 0:00:00,"Incobrable 2008",
63,29,1,2007-07-14 0:00:00,2007-07-16 0:00:00,$500.00,0,$500.00,0.20,$600.00,1,48,"2",2008-12-31 0:00:00,"Incobrable 2008",
64,43,1,2007-07-14 0:00:00,2007-07-16 0:00:00,$800.00,129,$670.70,0.20,$960.00,1,48,"8",2008-04-19 0:00:00,,
65,107,1,2007-07-14 0:00:00,2007-07-16 0:00:00,$500.00,27,$472.95,0.20,$600.00,1,48,"2",,"Crédito Especial",
